Image,model_name,Score
"3dgcqa-4k/hifa/a_scarf,_fluttering,_boho_style@20250921-215800",hifa,2.5
"3dgcqa-4k/hifa/a_turban,_wrapping,_traditional_style@20250813-234555",hifa,1.7
"3dgcqa-4k/hifa/a_scone,_buttering,_English_style@20250814-215809",hifa,2.1
"3dgcqa-4k/hifa/a_smartwatch,_beeping,_vector_style@20250812-190840",hifa,2.3
"3dgcqa-4k/hifa/a_clove,_scenting,_warm_style@20250922-061831",hifa,4.4
"3dgcqa-4k/hifa/a_plate,_spinning,_minimalist_style@20250922-033320",hifa,1.5
"3dgcqa-4k/hifa/a_stud_finder,_detecting,_precise_style@20250812-021223",hifa,2.0
"3dgcqa-4k/hifa/a_rosemary_sprig,_roasting,_earthy_style@20250815-010944",hifa,2.8
"3dgcqa-4k/hifa/a_pottery_shard,_reflecting,_ancient_style@20250813-102418",hifa,4.7
"3dgcqa-4k/hifa/a_e-reader,_displaying,_minimalistic_style@20250922-035050",hifa,0.1
"3dgcqa-4k/hifa/a_oil_lamp,_lighting,_traditional_style@20250813-025940",hifa,4.0
"3dgcqa-4k/hifa/a_dragon_egg,_hatching,_fantasy_style@20250813-120943",hifa,2.1
"3dgcqa-4k/hifa/a_toy_plane,_soaring,_aviation_style@20250811-132905",hifa,1.3
"3dgcqa-4k/hifa/a_toy_gun,_shooting,_action-packed_style@20250811-145259",hifa,3.9
"3dgcqa-4k/hifa/a_bicycle,_cycling,_adventure_style@20250922-063154",hifa,3.0
"3dgcqa-4k/hifa/a_quilt,_patching,_cozy_style@20250813-233041",hifa,0.9
"3dgcqa-4k/hifa/a_horseradish,_shredding,_pungent_style@20250814-191339",hifa,3.6
"3dgcqa-4k/hifa/a_ancient_key,_turning,_mysterious_style@20250922-014123",hifa,1.2
"3dgcqa-4k/hifa/a_robot,_walking,_sci-fi_style@20250811-165507",hifa,4.7
"3dgcqa-4k/hifa/a_blocks,_stacking,_Bauhaus_style@20250811-210903",hifa,2.4
"3dgcqa-4k/hifa/a_protein_shake,_mixing,_fitness_style@20250811-181141",hifa,0.8
"3dgcqa-4k/hifa/a_goldfish,_floating,_serene_style@20250812-203512",hifa,3.5
"3dgcqa-4k/hifa/a_salt_shaker,_shaking,_functional_style@20250813-120922",hifa,0.7
"3dgcqa-4k/hifa/a_bowl,_shattering,_comic_book_style@20250813-101626",hifa,2.3
"3dgcqa-4k/hifa/a_coffee_cup,_steaming,_watercolor_style@20250921-215800",hifa,2.5
"3dgcqa-4k/hifa/a_glue_gun,_bonding,_crafty_style@20250812-060312",hifa,3.9
"3dgcqa-4k/hifa/a_spirit_level,_leveling,_construction_style@20250921-235918",hifa,2.1
"3dgcqa-4k/hifa/a_safflower,_coloring,_delicate_style@20250922-080812",hifa,2.0
"3dgcqa-4k/hifa/a_porcelain_doll,_dressing,_delicate_style@20250813-082242",hifa,2.4
"3dgcqa-4k/hifa/a_doll,_dancing,_anime_style@20250811-153238",hifa,3.8
"3dgcqa-4k/hifa/a_play-dough,_molding,_creative_style@20250921-223247",hifa,1.8
"3dgcqa-4k/hifa/a_turmeric_latte,_mixing,_golden_style@20250811-064016",hifa,1.5
"3dgcqa-4k/hifa/a_handwoven_blanket,_comforting,_cozy_style@20250814-011729",hifa,2.7
"3dgcqa-4k/hifa/a_cumin_seed,_toasting,_earthy_style@20250815-051126",hifa,0.6
"3dgcqa-4k/hifa/a_nutmeg,_grating,_spiced_style@20250815-022315",hifa,2.9
"3dgcqa-4k/hifa/a_clay_tablet,_inscribing,_ancient_style@20250813-213213",hifa,2.3
"3dgcqa-4k/hifa/a_kitten,_playing,_playful_style@20250812-234804",hifa,4.3
"3dgcqa-4k/hifa/a_velvet_cushion,_softening,_plush_style@20250813-213030",hifa,0.7
"3dgcqa-4k/hifa/a_black_pepper,_milling,_strong_style@20250815-070839",hifa,3.8
"3dgcqa-4k/hifa/a_hedge_trimmer,_trimming,_garden_style@20250922-022245",hifa,0.4
"3dgcqa-4k/hifa/a_ring,_enchanting,_mystical_style@20250922-071120",hifa,1.2
"3dgcqa-4k/hifa/a_vodka_tonic,_mixing,_night_out_style@20250811-081326",hifa,3.7
"3dgcqa-4k/hifa/a_hourglass,_measuring,_timeless_style@20250813-214938",hifa,0.7
"3dgcqa-4k/hifa/a_pitcher,_filling,_country_style@20250812-233808",hifa,0.7
"3dgcqa-4k/hifa/a_denim_jacket,_fraying,_edgy_style@20250814-063719",hifa,3.2
"3dgcqa-4k/hifa/a_roman_coin,_flipping,_historical_style@20250813-162955",hifa,0.5
"3dgcqa-4k/hifa/a_smartwatch,_notifying,_sleek_style@20250812-130347",hifa,2.0
"3dgcqa-4k/hifa/a_sandal,_wearing,_ancient_style@20250813-202659",hifa,2.7
"3dgcqa-4k/hifa/a_ferret,_exploring,_playful_style@20250922-062315",hifa,3.8
"3dgcqa-4k/hifa/a_cardamom_pod,_bursting,_fragrant_style@20250814-234725",hifa,4.5
"3dgcqa-4k/hifa/a_hot_toddy,_simmering,_warming_style@20250811-064217",hifa,1.5
"3dgcqa-4k/hifa/a_curry_leaf,_sizzling,_Indian_style@20250814-210901",hifa,0.6
"3dgcqa-4k/hifa/a_cappuccino,_frothing,_Italian_style@20250922-035549",hifa,2.6
"3dgcqa-4k/hifa/a_garden_fork,_turning,_horticultural_style@20250812-064349",hifa,2.6
"3dgcqa-4k/hifa/a_milkshake,_swirling,_retro_style@20250811-120349",hifa,2.1
"3dgcqa-4k/hifa/a_model_airplane,_constructing,_detailed_style@20250811-212356",hifa,3.9
"3dgcqa-4k/hifa/a_koi_fish,_swimming,_ornamental_style@20250813-035636",hifa,3.8
"3dgcqa-4k/hifa/a_guinea_pig,_squeaking,_cuddly_style@20250812-230429",hifa,1.9
"3dgcqa-4k/hifa/a_brownie,_baking,_cozy_style@20250922-040206",hifa,0.8
"3dgcqa-4k/hifa/a_truffle,_coating,_decadent_style@20250814-184837",hifa,4.5
"3dgcqa-4k/hifa/a_quilt,_patching,_folk_art_style@20250921-224718",hifa,2.5
"3dgcqa-4k/hifa/a_toy_boat,_sailing,_maritime_style@20250811-170205",hifa,0.5
"3dgcqa-4k/hifa/a_basil_leaf,_crushing,_fresh_style@20250815-021126",hifa,4.7
"3dgcqa-4k/hifa/a_handkerchief,_waving,_rococo_style@20250922-004500",hifa,1.8
"3dgcqa-4k/hifa/a_inkwell,_dipping,_classic_style@20250813-102152",hifa,1.1
"3dgcqa-4k/hifa/a_frisbee,_flying,_outdoor_style@20250811-165326",hifa,2.1
"3dgcqa-4k/hifa/a_cupcake,_frosting,_celebratory_style@20250814-143722",hifa,4.2
"3dgcqa-4k/hifa/a_gelato,_scooping,_creamy_style@20250814-052506",hifa,2.2
"3dgcqa-4k/hifa/a_goldfish,_swimming,_peaceful_style@20250813-001647",hifa,2.0
"3dgcqa-4k/hifa/a_bolt_cutter,_cutting,_forceful_style@20250812-064301",hifa,4.1
"3dgcqa-4k/hifa/a_fudge,_cutting,_rich_style@20250922-055022",hifa,0.5
"3dgcqa-4k/hifa/a_robot_vacuum,_cleaning,_automated_style@20250812-163516",hifa,2.6
"3dgcqa-4k/hifa/a_birdbath,_filling,_garden_style@20250815-054553",hifa,5.0
"3dgcqa-4k/hifa/a_flowerpot,_planting,_garden_style@20250813-115353",hifa,4.5
"3dgcqa-4k/hifa/a_cupcake,_decorating,_kawaii_style@20250815-002844",hifa,4.5
"3dgcqa-4k/hifa/a_model_rocket,_launching,_educational_style@20250811-230942",hifa,4.7
"3dgcqa-4k/hifa/a_periscope,_peeking,_innovative_style@20250921-215800",hifa,0.6
"3dgcqa-4k/hifa/a_bearded_dragon,_basking,_reptilian_style@20250922-053249",hifa,1.3
"3dgcqa-4k/hifa/a_Maine_Coon,_grooming,_fluffy_style@20250922-061521",hifa,2.4
"3dgcqa-4k/hifa/a_butter_dish,_spreading,_classic_style@20250815-031806",hifa,0.0
"3dgcqa-4k/hifa/a_dagger,_slicing,_heroic_style@20250813-183830",hifa,4.3
"3dgcqa-4k/hifa/a_spade,_digging,_garden_style@20250812-040522",hifa,2.1
"3dgcqa-4k/hifa/a_horse,_galloping,_fantasy_style@20250813-010713",hifa,3.8
"3dgcqa-4k/hifa/a_lace_doily,_decorating,_delicate_style@20250814-031209",hifa,0.4
"3dgcqa-4k/hifa/a_kimono,_wrapping,_oriental_style@20250814-013505",hifa,1.6
"3dgcqa-4k/hifa/a_chili_powder,_spicing,_fiery_style@20250814-221205",hifa,4.0
"3dgcqa-4k/hifa/a_cocktail,_shaking,_cubist_style@20250811-034731",hifa,0.0
"3dgcqa-4k/hifa/a_juniper_berry,_infusing,_gin_style@20250815-000638",hifa,4.2
"3dgcqa-4k/hifa/a_tureen,_serving,_grand_style@20250813-062240",hifa,3.0
"3dgcqa-4k/hifa/a_wrench,_turning,_vintage_style@20250921-235052",hifa,5.0
"3dgcqa-4k/hifa/a_drone,_flying,_high-tech_style@20250812-154438",hifa,2.1
"3dgcqa-4k/hifa/a_compass,_pointing,_adventure_style@20250813-193547",hifa,2.2
"3dgcqa-4k/hifa/a_rubber_duck,_floating,_bath_time_style@20250811-220450",hifa,2.7
"3dgcqa-4k/hifa/a_amphora,_carrying,_ancient_style@20250813-133316",hifa,3.6
"3dgcqa-4k/hifa/a_fossil,_excavating,_prehistoric_style@20250813-175759",hifa,1.8
"3dgcqa-4k/hifa/a_flag,_waving,_patriotic_style@20250814-150233",hifa,2.6
"3dgcqa-4k/hifa/a_Sphynx_cat,_preening,_hairless_style@20250813-011932",hifa,2.4
"3dgcqa-4k/hifa/a_smoothie_bowl,_blending,_vibrant_style@20250811-064015",hifa,1.1
"3dgcqa-4k/hifa/a_decorative_plate,_displaying,_ornamental_style@20250813-063037",hifa,0.3
"3dgcqa-4k/hifa/a_angel_food_cake,_slicing,_airy_style@20250814-233437",hifa,2.7
"3dgcqa-4k/hifa/a_pina_colada,_chilling,_holiday_style@20250811-034732",hifa,0.6
"3dgcqa-4k/hifa/a_instant_pot,_cooking,_modern_style@20250812-112425",hifa,0.3
"3dgcqa-4k/hifa/a_chariot_wheel,_rolling,_epic_style@20250922-000712",hifa,3.6
"3dgcqa-4k/hifa/a_Persian_cat,_lounging,_regal_style@20250812-171343",hifa,4.2
"3dgcqa-4k/hifa/a_flashlight,_illuminating,_functional_style@20250812-052128",hifa,3.2
"3dgcqa-4k/hifa/a_red_wine,_breathing,_elegant_style@20250811-105711",hifa,1.1
"3dgcqa-4k/hifa/a_television,_broadcasting,_retro_style@20250922-002556",hifa,1.1
"3dgcqa-4k/hifa/a_hatchet,_chopping,_rustic_style@20250812-003551",hifa,0.8
"3dgcqa-4k/hifa/a_washbasin,_filling,_rustic_style@20250813-085841",hifa,4.0
"3dgcqa-4k/hifa/a_astrolabe,_exploring,_navigational_style@20250813-172218",hifa,2.9
"3dgcqa-4k/hifa/a_trifle,_layering,_festive_style@20250814-105656",hifa,3.5
"3dgcqa-4k/hifa/a_beagle,_sniffing,_active_style@20250812-170511",hifa,0.8
"3dgcqa-4k/hifa/a_remote-controlled_drone,_flying,_techy_style@20250811-183545",hifa,3.2
"3dgcqa-4k/hifa/a_file,_smoothing,_industrial_style@20250922-052834",hifa,2.6
"3dgcqa-4k/hifa/a_pillow,_fluffing,_comfortable_style@20250922-003935",hifa,3.6
"3dgcqa-4k/hifa/a_iced_mocha,_blending,_sweet_style@20250922-081738",hifa,1.2
"3dgcqa-4k/hifa/a_balloon,_inflating,_festive_style@20250813-202814",hifa,4.5
"3dgcqa-4k/hifa/a_fidget_spinner,_spinning,_trendy_style@20250811-203736",hifa,2.7
"3dgcqa-4k/hifa/a_fruit_tart,_arranging,_colorful_style@20250814-183433",hifa,1.4
"3dgcqa-4k/hifa/a_ceramic_fish,_swimming,_tropical_style@20250921-215801",hifa,3.9
"3dgcqa-4k/hifa/a_fruit_bowl,_filling,_colorful_style@20250922-045636",hifa,3.7
"3dgcqa-4k/hifa/a_caulking_gun,_sealing,_precise_style@20250812-070803",hifa,3.5
"3dgcqa-4k/hifa/a_doorbell_camera,_watching,_security_style@20250922-043206",hifa,2.9
"3dgcqa-4k/hifa/a_parfait,_layering,_sleek_style@20250815-034143",hifa,0.2
"3dgcqa-4k/hifa/a_iced_tea,_cooling,_summer_style@20250811-064215",hifa,3.1
"3dgcqa-4k/hifa/a_rocking_horse,_rocking,_nostalgic_style@20250811-195603",hifa,0.7
"3dgcqa-4k/hifa/a_ceramic_bunny,_hopping,_cute_style@20250813-103723",hifa,4.0
"3dgcqa-4k/hifa/a_sweater_vest,_layering,_preppy_style@20250814-021738",hifa,3.8
"3dgcqa-4k/hifa/a_printer,_printing,_monochrome_style@20250812-105255",hifa,3.6
"3dgcqa-4k/hifa/a_pie,_slicing,_homemade_style@20250922-071315",hifa,0.1
"3dgcqa-4k/hifa/a_peppermint_tea,_steaming,_soothing_style@20250811-125259",hifa,2.1
"3dgcqa-4k/hifa/a_sculpture,_glowing,_surreal_style@20250813-065010",hifa,1.3
"3dgcqa-4k/hifa/a_train,_chugging,_illustrative_style@20250811-194940",hifa,3.0
"3dgcqa-4k/hifa/a_gelatin,_setting,_jiggly_style@20250814-194641",hifa,2.6
"3dgcqa-4k/hifa/a_toy_soldier,_marching,_military_style@20250811-214438",hifa,1.7
"3dgcqa-4k/hifa/a_energy_drink,_electrifying,_high-tech_style@20250811-092147",hifa,2.0
"3dgcqa-4k/hifa/a_crepe,_filling,_delicate_style@20250814-174722",hifa,1.4
"3dgcqa-4k/hifa/a_betta_fish,_fighting,_vibrant_style@20250812-191017",hifa,0.4
"3dgcqa-4k/hifa/a_cashmere_scarf,_wrapping,_luxurious_style@20250814-042653",hifa,0.2
"3dgcqa-4k/hifa/a_samurai_sword,_unsheathing,_warrior_style@20250813-124258",hifa,2.7
"3dgcqa-4k/hifa/a_tiramisu,_layering,_Italian_style@20250922-014639",hifa,4.5
"3dgcqa-4k/hifa/a_cummerbund,_adjusting,_formal_style@20250922-000942",hifa,2.4
"3dgcqa-4k/hifa/a_action_camera,_recording,_rugged_style@20250922-074833",hifa,1.7
"3dgcqa-4k/hifa/a_guinea_pig,_nibbling,_detailed_style@20250812-183209",hifa,2.1
"3dgcqa-4k/hifa/a_saffron_thread,_steeping,_luxurious_style@20250922-034418",hifa,1.0
"3dgcqa-4k/hifa/a_medallion,_shining,_ornate_style@20250813-114907",hifa,0.3
"3dgcqa-4k/hifa/a_tapestry,_embroidering,_detailed_style@20250922-085506",hifa,0.0
"3dgcqa-4k/hifa/a_rug,_unraveling,_tribal_style@20250814-101919",hifa,2.7
"3dgcqa-4k/hifa/a_poodle,_prancing,_stylish_style@20250921-234340",hifa,4.4
"3dgcqa-4k/hifa/a_graphics_tablet,_drawing,_artistic_style@20250922-003819",hifa,1.2
"3dgcqa-4k/hifa/a_fish,_swimming,_watercolor_style@20250812-223051",hifa,3.8
"3dgcqa-4k/hifa/a_kite,_flying,_whimsical_style@20250811-183523",hifa,4.6
"3dgcqa-4k/hifa/a_hedgehog,_curling,_spiky_style@20250813-030516",hifa,1.6
"3dgcqa-4k/hifa/a_wind-up_toy,_moving,_mechanical_style@20250811-192803",hifa,0.9
"3dgcqa-4k/hifa/a_anvil,_forging,_medieval_style@20250812-002338",hifa,2.3
"3dgcqa-4k/hifa/a_tapestry,_weaving,_historical_style@20250813-171711",hifa,2.4
"3dgcqa-4k/hifa/a_dollhouse,_decorating,_miniature_style@20250811-160857",hifa,3.0
"3dgcqa-4k/hifa/a_train_set,_assembling,_intricate_style@20250922-004926",hifa,1.0
"3dgcqa-4k/hifa/a_pharaoh_mask,_staring,_egyptian_style@20250813-202125",hifa,4.0
"3dgcqa-4k/hifa/a_ancient_book,_opening,_literary_style@20250813-124132",hifa,3.5
"3dgcqa-4k/hifa/a_sugar_bowl,_sweetening,_vintage_style@20250813-012510",hifa,4.0
"3dgcqa-4k/hifa/a_great_dane,_towering,_majestic_style@20250812-210155",hifa,0.5
"3dgcqa-4k/hifa/a_brooch,_clasping,_ornate_style@20250813-152141",hifa,4.0
"3dgcqa-4k/hifa/a_trampoline,_bouncing,_energetic_style@20250811-134338",hifa,3.6
"3dgcqa-4k/hifa/a_oregano,_drying,_Mediterranean_style@20250922-043042",hifa,4.5
"3dgcqa-4k/hifa/a_soundbar,_sounding,_immersive_style@20250812-173632",hifa,3.9
"3dgcqa-4k/hifa/a_dog,_barking,_comic_style@20250922-011911",hifa,4.1
"3dgcqa-4k/hifa/a_plunger,_plunging,_household_style@20250812-063853",hifa,1.6
"3dgcqa-4k/hifa/a_stuffed_animal,_cuddling,_plush_style@20250811-195238",hifa,3.7
"3dgcqa-4k/hifa/a_yoga_mat,_rolling,_zen_style@20250922-012222",hifa,3.6
"3dgcqa-4k/hifa/a_macaw,_squawking,_vibrant_style@20250812-180244",hifa,3.2
"3dgcqa-4k/hifa/a_mocha,_swirling,_decadent_style@20250811-121736",hifa,1.1
"3dgcqa-4k/hifa/a_meringue,_whipping,_airy_style@20250814-172803",hifa,0.4
"3dgcqa-4k/hifa/a_magic_set,_performing,_magician_style@20250921-232508",hifa,1.9
"3dgcqa-4k/hifa/a_kombucha,_fermenting,_probiotic_style@20250811-123021",hifa,3.9
"3dgcqa-4k/hifa/a_hamster,_running,_cute_style@20250922-025823",hifa,3.2
"3dgcqa-4k/hifa/a_gecko,_sticking,_adhesive_style@20250813-023026",hifa,1.4
"3dgcqa-4k/hifa/a_trowel,_smoothing,_masonry_style@20250812-052418",hifa,4.2
"3dgcqa-4k/hifa/a_profiterole,_filling,_creamy_style@20250922-005700",hifa,2.1
"3dgcqa-4k/hifa/a_jackhammer,_breaking,_urban_style@20250922-045133",hifa,2.3
"3dgcqa-4k/hifa/a_border_collie,_herding,_intelligent_style@20250812-181956",hifa,1.5
"3dgcqa-4k/hifa/a_lollipop,_licking,_colorful_style@20250814-204920",hifa,2.0
"3dgcqa-4k/hifa/a_frappe,_blending,_cold_style@20250811-141952",hifa,2.4
"3dgcqa-4k/hifa/a_building_blocks,_stacking,_colorful_style@20250812-010220",hifa,3.3
"3dgcqa-4k/hifa/a_cookie,_crumbling,_doodle_style@20250922-024516",hifa,3.7
"3dgcqa-4k/hifa/a_VR_headset,_immersing,_futuristic_style@20250812-140819",hifa,3.0
"3dgcqa-4k/hifa/a_ginger_ale,_fizzing,_zesty_style@20250811-064216",hifa,0.8
"3dgcqa-4k/hifa/a_jade_amulet,_glowing,_mystical_style@20250921-232940",hifa,1.5
"3dgcqa-4k/hifa/a_helmet,_wearing,_protective_style@20250813-104413",hifa,2.5
"3dgcqa-4k/hifa/a_smoothie,_blending,_pop_art_style@20250922-023000",hifa,2.8
"3dgcqa-4k/hifa/a_stuffed_bunny,_cuddling,_kawaii_style@20250811-221922",hifa,0.6
"3dgcqa-4k/hifa/a_chalice,_filling,_ceremonial_style@20250813-030941",hifa,2.9
"3dgcqa-4k/hifa/a_projector,_projecting,_cinematic_style@20250812-102235",hifa,1.2
"3dgcqa-4k/hifa/a_pepper,_grinding,_bold_style@20250814-205646",hifa,3.5
"3dgcqa-4k/hifa/a_game_console,_gaming,_entertainment_style@20250812-091853",hifa,3.4
"3dgcqa-4k/hifa/a_speaker,_blasting,_neon_style@20250812-115826",hifa,4.2
"3dgcqa-4k/hifa/a_tile,_cracking,_graffiti_style@20250922-042358",hifa,1.2
"3dgcqa-4k/hifa/a_cockatoo,_screaming,_exotic_style@20250812-195951",hifa,3.6
"3dgcqa-4k/hifa/a_kaleidoscope,_twisting,_colorful_style@20250811-161034",hifa,0.9
"3dgcqa-4k/hifa/a_wine_glass,_clinking,_minimalist_style@20250811-164408",hifa,0.2
"3dgcqa-4k/hifa/a_baklava,_layering,_Middle_Eastern_style@20250814-071645",hifa,4.0
"3dgcqa-4k/hifa/a_garlic_clove,_crushing,_pungent_style@20250922-073905",hifa,0.7
"3dgcqa-4k/hifa/a_cinnamon_stick,_curling,_rustic_style@20250814-222814",hifa,4.0
"3dgcqa-4k/hifa/a_dachshund,_burrowing,_playful_style@20250813-024407",hifa,1.4
"3dgcqa-4k/hifa/a_ferret,_tunneling,_curious_style@20250812-213411",hifa,2.9
"3dgcqa-4k/hifa/a_thermostat,_adjusting,_modern_style@20250812-154824",hifa,2.8
"3dgcqa-4k/hifa/a_lego_set,_building,_creative_style@20250811-162923",hifa,1.4
"3dgcqa-4k/hifa/a_nutmeg,_grating,_spicy_style@20250815-002607",hifa,1.9
"3dgcqa-4k/hifa/a_humidifier,_misting,_wellness_style@20250812-145156",hifa,3.4
"3dgcqa-4k/hifa/a_bandana,_tying,_rugged_style@20250814-062759",hifa,1.5
"3dgcqa-4k/hifa/a_silk_ribbon,_fluttering,_elegant_style@20250813-200236",hifa,4.0
"3dgcqa-4k/hifa/a_pitcher,_overflowing,_cartoon_style@20250922-055649",hifa,1.4
"3dgcqa-4k/hifa/a_smart_home_device,_automating,_innovative_style@20250812-131948",hifa,0.9
"3dgcqa-4k/hifa/a_drill,_boring,_powerful_style@20250812-034358",hifa,4.0
"3dgcqa-4k/hifa/a_scroll,_unrolling,_renaissance_style@20250813-134517",hifa,2.4
"3dgcqa-4k/hifa/a_mortar_and_pestle,_grinding,_essential_style@20250813-045356",hifa,1.8
"3dgcqa-4k/hifa/a_tape_measure,_extending,_infographic_style@20250812-032130",hifa,1.1
"3dgcqa-4k/hifa/a_sangria,_infusing,_fruity_style@20250811-101326",hifa,1.3
"3dgcqa-4k/hifa/a_monocle,_focusing,_vintage_style@20250921-231047",hifa,1.7
"3dgcqa-4k/hifa/a_chess_set,_strategizing,_classic_style@20250811-195156",hifa,4.2
"3dgcqa-4k/hifa/a_cat,_purring,_cartoon_style@20250812-174233",hifa,4.3
"3dgcqa-4k/hifa/a_protein_shake,_mixing,_athletic_style@20250811-064214",hifa,2.2
3dgcqa-4k/hunyuan/hy_a_smartwatch_beeping_vector_style,hunyuan,0.9
3dgcqa-4k/hunyuan/hy_a_quilt_patching_folk_art_style,hunyuan,3.6
3dgcqa-4k/hunyuan/hy_a_cupcake_frosting_celebratory_style,hunyuan,4.7
3dgcqa-4k/hunyuan/hy_a_ceramic_bunny_hopping_cute_style,hunyuan,4.3
3dgcqa-4k/hunyuan/hy_a_wrench_turning_vintage_style,hunyuan,2.6
3dgcqa-4k/hunyuan/hy_a_rubber_duck_floating_bath_time_style,hunyuan,4.6
3dgcqa-4k/hunyuan/hy_a_statue_crumbling_classical_style,hunyuan,2.4
3dgcqa-4k/hunyuan/hy_a_thai_iced_tea_blending_exotic_style.zip,hunyuan,4.5
3dgcqa-4k/hunyuan/hy_a_napkin_folding_formal_style,hunyuan,3.7
3dgcqa-4k/hunyuan/hy_a_wind-up_toy_moving_mechanical_style,hunyuan,5.0
3dgcqa-4k/hunyuan/hy_a_vase_spinning_watercolor_style,hunyuan,4.0
3dgcqa-4k/hunyuan/hy_a_tapestry_hanging_baroque_style,hunyuan,4.3
3dgcqa-4k/hunyuan/hy_a_poncho_draping_bohemian_style,hunyuan,3.6
3dgcqa-4k/hunyuan/hy_a_horse_galloping_fantasy_style,hunyuan,4.1
3dgcqa-4k/hunyuan/hy_a_mustard_seed_popping_tangy_style,hunyuan,4.5
3dgcqa-4k/hunyuan/hy_a_hourglass_measuring_timeless_style,hunyuan,3.6
3dgcqa-4k/hunyuan/hy_a_clove_piercing_intense_style,hunyuan,4.4
3dgcqa-4k/hunyuan/hy_a_meringue_whipping_airy_style,hunyuan,2.5
3dgcqa-4k/hunyuan/hy_a_fitness_watch_tracking_active_style,hunyuan,4.1
3dgcqa-4k/hunyuan/hy_a_Bluetooth_speaker_blasting_portable_style,hunyuan,4.6
3dgcqa-4k/hunyuan/hy_a_profiterole_filling_creamy_style,hunyuan,4.6
3dgcqa-4k/hunyuan/hy_a_e-book_reader_page-turning_literary_style,hunyuan,3.6
3dgcqa-4k/hunyuan/hy_a_coriander_leaf_garnishing_vibrant_style,hunyuan,5.0
3dgcqa-4k/hunyuan/hy_a_flashlight_illuminating_functional_style,hunyuan,4.4
3dgcqa-4k/hunyuan/hy_a_caulking_gun_sealing_precise_style.zip,hunyuan,4.5
3dgcqa-4k/hunyuan/hy_a_dachshund_burrowing_playful_style,hunyuan,5.0
3dgcqa-4k/hunyuan/hy_a_bicycle_cycling_adventure_style,hunyuan,3.6
3dgcqa-4k/hunyuan/hy_a_Sphynx_cat_preening_hairless_style.zip,hunyuan,3.9
3dgcqa-4k/hunyuan/hy_a_fitness_tracker_monitoring_sporty_style,hunyuan,4.6
3dgcqa-4k/hunyuan/hy_a_patchwork_quilt_assembling_vintage_style,hunyuan,4.4
3dgcqa-4k/hunyuan/hy_a_green_smoothie_blending_healthy_style,hunyuan,3.8
3dgcqa-4k/hunyuan/hy_a_panna_cotta_setting_smooth_style,hunyuan,4.6
3dgcqa-4k/hunyuan/hy_a_turmeric_root_grinding_vibrant_style,hunyuan,4.1
3dgcqa-4k/hunyuan/hy_a_mocha_swirling_decadent_style,hunyuan,3.6
3dgcqa-4k/hunyuan/hy_a_chive_chopping_garnish_style,hunyuan,1.5
3dgcqa-4k/hunyuan/hy_a_mortar_and_pestle_grinding_essential_style,hunyuan,4.3
3dgcqa-4k/hunyuan/hy_a_helmet_wearing_protective_style,hunyuan,4.5
3dgcqa-4k/hunyuan/hy_a_skateboard_skating_street_style,hunyuan,4.5
3dgcqa-4k/hunyuan/hy_a_tape_measuring_precise_style,hunyuan,1.1
3dgcqa-4k/hunyuan/hy_a_jug_pouring_rustic_style,hunyuan,4.3
3dgcqa-4k/hunyuan/hy_a_sextant_aligning_nautical_style,hunyuan,4.5
3dgcqa-4k/hunyuan/hy_a_ladder_climbing_high-reaching_style,hunyuan,5.0
3dgcqa-4k/hunyuan/hy_a_protein_shake_mixing_athletic_style,hunyuan,4.4
3dgcqa-4k/hunyuan/hy_a_stuffed_bunny_cuddling_kawaii_style,hunyuan,4.2
3dgcqa-4k/hunyuan/hy_a_goblet_spilling_gothic_style,hunyuan,4.7
3dgcqa-4k/hunyuan/hy_a_oil_lamp_lighting_traditional_style,hunyuan,4.3
3dgcqa-4k/hunyuan/hy_a_chili_pepper_sizzling_hot_style,hunyuan,4.6
3dgcqa-4k/hunyuan/hy_a_sash_tying_decorative_style,hunyuan,4.4
3dgcqa-4k/hunyuan/hy_a_yoga_mat_rolling_zen_style,hunyuan,4.2
3dgcqa-4k/hunyuan/hy_a_goldfish_swimming_peaceful_style,hunyuan,4.0
3dgcqa-4k/hunyuan/hy_a_cheesecake_slicing_decadent_style,hunyuan,4.1
3dgcqa-4k/hunyuan/hy_a_suede_glove_fitting_chic_style,hunyuan,3.4
3dgcqa-4k/hunyuan/hy_a_harpoon_thrusting_whaling_style,hunyuan,4.3
3dgcqa-4k/hunyuan/hy_a_chameleon_changing_vibrant_style,hunyuan,4.1
3dgcqa-4k/hunyuan/hy_a_hand_saw_sawing_traditional_style,hunyuan,4.4
3dgcqa-4k/hunyuan/hy_a_fruit_bowl_filling_colorful_style,hunyuan,4.1
3dgcqa-4k/hunyuan/hy_a_safflower_coloring_delicate_style,hunyuan,5.0
3dgcqa-4k/hunyuan/hy_a_pie_slicing_homemade_style,hunyuan,3.7
3dgcqa-4k/hunyuan/hy_a_rocking_horse_rocking_nostalgic_style,hunyuan,3.9
3dgcqa-4k/hunyuan/hy_a_remote_control_car_racing_fast-paced_style,hunyuan,1.1
3dgcqa-4k/hunyuan/hy_a_iguana_basking_exotic_style,hunyuan,0.8
3dgcqa-4k/hunyuan/hy_a_hot_chocolate_steaming_digital_art_style,hunyuan,4.7
3dgcqa-4k/hunyuan/hy_a_mosaic_tile_fitting_intricate_style,hunyuan,4.6
3dgcqa-4k/hunyuan/hy_a_beach_ball_bouncing_holiday_style,hunyuan,4.3
